timestamp,currency_pair,revolut_sell_eur,revolut_buy_eur,mid_rate,spread_abs,spread_pct
2026-02-20T17:26:47.318051,EUR/GBP,0.8693,0.8760,0.8726,0.0067,0.76
2026-02-20T17:26:47.318051,EUR/USD,1.1721,1.1809,1.1765,0.0088,0.75
2026-02-20T18:20:40.611281,EUR/JPY,182.0400,183.3400,182.6900,1.3000,0.71
