date,strategy_id,strategy_name,strategy_params,no_trades_executed,EUR,USD,GBP,JPY,CHF,AUD,CAD,NOK,SEK,CNY,MXN,current_value
2026-02-24,momentum-conf30-size10,simple-momentum,conf=0.3_size=0.1,10,51.422730925514934,83.2375305409807,23.852358814101805,10621.152284589949,92.36508528143511,435.9371660619152,162.7527776219129,1126.978182,624.4736871007663,1668.4152186896724,1207.1371497809243,1094.06
2026-02-24,momentum-conf30-size25,simple-momentum,conf=0.3_size=0.25,10,17.397151770796324,50.79629696900124,2.9674254278181333,5501.906810115158,59.76401834096288,686.5404319248432,120.62697090988632,1126.978182,248.31116817569995,2400.6806194569463,509.11696169515136,1089.62
2026-02-24,momentum-conf30-size50,simple-momentum,conf=0.3_size=0.5,10,2.212982026437258,23.809789818882443,0.05706603858419842,2631.5244762402135,17.83054418140388,898.4065981266139,53.44809346776622,1126.978182,40.946081177164025,2848.2845374069557,97.40633622214227,1087.45
2026-02-24,momentum-conf50-size10,simple-momentum,conf=0.5_size=0.1,0,77.04096540786958,101.53801905994541,49.7421073349417,13036.893440242093,92.55287298547024,292.6235007468612,202.8005111861239,1126.978182,799.86669311342,1229.7446737346806,1551.890741881908,1096.55
2026-02-24,momentum-conf50-size25,simple-momentum,conf=0.5_size=0.25,0,50.29538091217669,82.49081242279512,18.892185904115706,7497.759998278099,76.12848313288225,439.4516472466693,244.39987727097764,1126.978182,500.77739777766175,1748.0248497950556,1004.8688182826708,1092.68
2026-02-24,momentum-conf50-size50,simple-momentum,conf=0.5_size=0.5,0,21.896914486939536,53.9725843080431,2.5711940191116143,2526.2129674834746,39.22634375283497,602.6052396865452,263.7205320780996,1126.978182,204.722614933082,2404.6476352348013,442.0226616279047,1088.99
2026-02-24,momentum-conf70-size10,simple-momentum,conf=0.7_size=0.1,0,100.0,117.834993,64.90710482230222,16895.307757821676,102.5335442533817,188.4282257760749,161.443317,1126.978182,1068.2568350000001,872.1052880611128,2032.903738,1099.43
2026-02-24,momentum-conf70-size25,simple-momentum,conf=0.7_size=0.25,0,100.0,117.834993,39.750077758617735,14844.322990554198,113.61362589063826,215.51571283249203,161.443317,1126.978182,1068.2568350000001,961.210545652782,2032.903738,1098.72
2026-02-24,momentum-conf70-size50,simple-momentum,conf=0.7_size=0.5,0,100.0,117.834993,14.91343670006833,11426.015045108397,120.8223230965985,249.07370039702548,161.443317,1126.978182,1068.2568350000001,1109.719308305564,2032.903738,1097.85
2026-02-25,momentum-conf30-size10,simple-momentum,conf=0.3_size=0.1,1,51.422730925514934,83.2375305409807,23.852358814101805,10621.152284589949,92.36508528143511,438.98674890229836,162.7527776219129,1126.978182,604.8152554308341,1668.4152186896724,1207.1371497809243,1095.95
2026-02-25,momentum-conf30-size25,simple-momentum,conf=0.3_size=0.25,1,17.397151770796324,50.79629696900124,2.9674254278181333,5501.906810115158,59.76401834096288,689.571966692384,120.62697090988632,1126.978182,228.76907924027236,2400.6806194569463,509.11696169515136,1091.9
2026-02-25,momentum-conf30-size50,simple-momentum,conf=0.3_size=0.5,1,2.212982026437258,23.809789818882443,0.05706603858419842,2631.5244762402135,17.83054418140388,899.4063877824321,53.44809346776622,1126.978182,34.501167999878405,2848.2845374069557,97.40633622214227,1090.0
2026-02-25,momentum-conf50-size10,simple-momentum,conf=0.5_size=0.1,0,77.04096540786958,101.53801905994541,49.7421073349417,13036.893440242093,92.55287298547024,292.6235007468612,202.8005111861239,1126.978182,799.86669311342,1229.7446737346806,1551.890741881908,1098.18
2026-02-25,momentum-conf50-size25,simple-momentum,conf=0.5_size=0.25,0,50.29538091217669,82.49081242279512,18.892185904115706,7497.759998278099,76.12848313288225,439.4516472466693,244.39987727097764,1126.978182,500.77739777766175,1748.0248497950556,1004.8688182826708,1094.59
2026-02-25,momentum-conf50-size50,simple-momentum,conf=0.5_size=0.5,0,21.896914486939536,53.9725843080431,2.5711940191116143,2526.2129674834746,39.22634375283497,602.6052396865452,263.7205320780996,1126.978182,204.722614933082,2404.6476352348013,442.0226616279047,1091.18
2026-02-25,momentum-conf70-size10,simple-momentum,conf=0.7_size=0.1,0,100.0,117.834993,64.90710482230222,16895.307757821676,102.5335442533817,188.4282257760749,161.443317,1126.978182,1068.2568350000001,872.1052880611128,2032.903738,1100.91
2026-02-25,momentum-conf70-size25,simple-momentum,conf=0.7_size=0.25,0,100.0,117.834993,39.750077758617735,14844.322990554198,113.61362589063826,215.51571283249203,161.443317,1126.978182,1068.2568350000001,961.210545652782,2032.903738,1100.33
2026-02-25,momentum-conf70-size50,simple-momentum,conf=0.7_size=0.5,0,100.0,117.834993,14.91343670006833,11426.015045108397,120.8223230965985,249.07370039702548,161.443317,1126.978182,1068.2568350000001,1109.719308305564,2032.903738,1099.63
2026-02-26,momentum-conf30-size10,simple-momentum,conf=0.3_size=0.1,5,51.422730925514934,77.2085330226546,27.531091897334658,10296.888505341418,92.36508528143511,449.8287632128449,162.7527776219129,1126.978182,562.4649332662791,1668.4152186896724,1207.1371497809243,1095.54
2026-02-26,momentum-conf30-size25,simple-momentum,conf=0.3_size=0.25,5,17.397151770796324,41.857025065570475,7.368456152197938,5081.973772833118,59.76401834096288,703.4265325520977,120.62697090988632,1126.978182,189.80982715115005,2400.6806194569463,509.11696169515136,1092.29
2026-02-26,momentum-conf30-size50,simple-momentum,conf=0.3_size=0.5,5,2.212982026437258,15.833962853661282,2.930762041315679,2229.822264942145,17.83054418140388,910.3745145277683,53.44809346776622,1126.978182,23.296987351911575,2848.2845374069557,97.40633622214227,1091.05
