date,generator_id,estimator_id,currency,signal_count,penalty_factor,base_confidence,aggregate_confidence
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,AUD,6,1.0,0.8,0.8
2026-02-27,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CAD,2,0.6826,-0.77,-0.5256
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,CAD,3,0.8614,0.2333,0.201
2026-02-27,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CHF,4,1.0,0.0,0.0
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,CHF,1,0.4307,-0.7,-0.3015
2026-02-27,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CNY,3,0.8614,0.9,0.7752
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,CNY,9,1.0,0.2556,0.2556
2026-02-27,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,EUR,15,1.0,-0.28,-0.28
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,EUR,13,1.0,0.0462,0.0462
2026-02-27,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,GBP,5,1.0,-0.87,-0.87
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,GBP,4,1.0,-0.8,-0.8
2026-02-27,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,JPY,4,1.0,-0.4125,-0.4125
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,JPY,3,0.8614,-0.2333,-0.201
2026-02-27,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,MXN,1,0.4307,-0.9,-0.3876
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,MXN,1,0.4307,0.8,0.3445
2026-02-27,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,SEK,3,0.8614,-0.3,-0.2584
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,SEK,2,0.6826,-0.05,-0.0341
2026-02-27,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,USD,42,1.0,0.0293,0.0293
2026-02-27,llm-sentiment-v1-haiku,llm-horizon-v1-default,USD,49,1.0,-0.2327,-0.2327
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,AUD,8,1.0,0.1875,0.1875
