date,trader_id,buy_currency,sell_currency,buy_signal,sell_signal,trade_signal
2026-03-05,combinator-standard,USD,CHF,0.317,-0.2867,0.3018
2026-03-05,combinator-standard,CAD,CHF,0.2983,-0.2867,0.2925
2026-03-05,combinator-standard,USD,SEK,0.317,-0.2636,0.2903
2026-03-05,combinator-standard,CAD,SEK,0.2983,-0.2636,0.281
2026-03-05,combinator-standard,USD,GBP,0.317,-0.2437,0.2803
2026-03-05,combinator-standard,JPY,CHF,0.2593,-0.2867,0.273
2026-03-05,combinator-standard,CAD,GBP,0.2983,-0.2437,0.271
2026-03-05,combinator-standard,CNY,CHF,0.2418,-0.2867,0.2642
2026-03-05,combinator-standard,JPY,SEK,0.2593,-0.2636,0.2615
2026-03-05,combinator-standard,CNY,SEK,0.2418,-0.2636,0.2527
2026-03-05,combinator-standard,JPY,GBP,0.2593,-0.2437,0.2515
2026-03-05,combinator-standard,CNY,GBP,0.2418,-0.2437,0.2428
2026-03-05,combinator-standard,USD,EUR,0.317,-0.0566,0.1868
2026-03-05,combinator-standard,USD,MXN,0.317,-0.045,0.181
2026-03-05,combinator-standard,CAD,EUR,0.2983,-0.0566,0.1775
2026-03-05,combinator-standard,CAD,MXN,0.2983,-0.045,0.1717
2026-03-05,combinator-standard,JPY,EUR,0.2593,-0.0566,0.158
2026-03-05,combinator-standard,AUD,CHF,0.0196,-0.2867,0.1531
2026-03-05,combinator-standard,JPY,MXN,0.2593,-0.045,0.1522
2026-03-05,combinator-standard,CNY,EUR,0.2418,-0.0566,0.1492
2026-03-05,combinator-standard,CNY,MXN,0.2418,-0.045,0.1434
2026-03-05,combinator-standard,AUD,SEK,0.0196,-0.2636,0.1416
2026-03-05,combinator-standard,AUD,GBP,0.0196,-0.2437,0.1317
2026-03-05,combinator-standard,AUD,EUR,0.0196,-0.0566,0.0381
2026-03-05,combinator-standard,AUD,MXN,0.0196,-0.045,0.0323
2026-03-05,haiku-only,USD,SEK,0.4314,-0.3536,0.3925
2026-03-05,haiku-only,JPY,SEK,0.4243,-0.3536,0.389
2026-03-05,haiku-only,USD,GBP,0.4314,-0.332,0.3817
2026-03-05,haiku-only,JPY,GBP,0.4243,-0.332,0.3781
2026-03-05,haiku-only,CAD,SEK,0.398,-0.3536,0.3758
2026-03-05,haiku-only,USD,CHF,0.4314,-0.3175,0.3745
2026-03-05,haiku-only,JPY,CHF,0.4243,-0.3175,0.3709
2026-03-05,haiku-only,CAD,GBP,0.398,-0.332,0.365
2026-03-05,haiku-only,CAD,CHF,0.398,-0.3175,0.3578
2026-03-05,haiku-only,CNY,SEK,0.3177,-0.3536,0.3357
2026-03-05,haiku-only,CNY,GBP,0.3177,-0.332,0.3248
2026-03-05,haiku-only,CNY,CHF,0.3177,-0.3175,0.3176
2026-03-05,haiku-only,USD,EUR,0.4314,-0.0656,0.2485
2026-03-05,haiku-only,JPY,EUR,0.4243,-0.0656,0.245
2026-03-05,haiku-only,USD,AUD,0.4314,-0.0346,0.233
2026-03-05,haiku-only,CAD,EUR,0.398,-0.0656,0.2318
2026-03-05,haiku-only,JPY,AUD,0.4243,-0.0346,0.2295
2026-03-05,haiku-only,CAD,AUD,0.398,-0.0346,0.2163
2026-03-05,haiku-only,CNY,EUR,0.3177,-0.0656,0.1916
2026-03-05,haiku-only,CNY,AUD,0.3177,-0.0346,0.1762
2026-03-06,combinator-standard,CAD,CHF,0.3354,-0.2867,0.311
2026-03-06,combinator-standard,CAD,SEK,0.3354,-0.2636,0.2995
2026-03-06,combinator-standard,CAD,GBP,0.3354,-0.238,0.2867
2026-03-06,combinator-standard,USD,CHF,0.2814,-0.2867,0.2841
2026-03-06,combinator-standard,NOK,CHF,0.2667,-0.2867,0.2767
2026-03-06,combinator-standard,USD,SEK,0.2814,-0.2636,0.2725
2026-03-06,combinator-standard,NOK,SEK,0.2667,-0.2636,0.2651
2026-03-06,combinator-standard,USD,GBP,0.2814,-0.238,0.2597
2026-03-06,combinator-standard,JPY,CHF,0.2324,-0.2867,0.2596
2026-03-06,combinator-standard,NOK,GBP,0.2667,-0.238,0.2523
2026-03-06,combinator-standard,JPY,SEK,0.2324,-0.2636,0.248
2026-03-06,combinator-standard,CNY,CHF,0.1961,-0.2867,0.2414
2026-03-06,combinator-standard,JPY,GBP,0.2324,-0.238,0.2352
2026-03-06,combinator-standard,CNY,SEK,0.1961,-0.2636,0.2298
