date,base_currency,EUR,USD,GBP,JPY,CHF,AUD,CAD,NOK,SEK,CNY,MXN
2026-03-08,CHF,1.107693,1.287074,0.959633,203.081392,1.0,1.830663,1.746142,12.335573,11.813262,8.884808,22.957479
2026-03-08,AUD,0.605077,0.703064,0.524199,110.93322,0.54625,1.0,0.95383,6.738307,6.452995,4.853327,12.540524
2026-03-08,CAD,0.634366,0.737096,0.549573,116.302938,0.572691,1.048405,1.0,7.064475,6.765352,5.088252,13.147547
2026-03-08,NOK,0.089797,0.104338,0.077794,16.46307,0.081066,0.148405,0.141553,1.0,0.957658,0.720259,1.861079
2026-03-08,SEK,0.093767,0.108952,0.081234,17.190966,0.084651,0.154967,0.147812,1.044214,1.0,0.752105,1.943365
2026-03-08,CNY,0.124673,0.144862,0.108008,22.857149,0.112552,0.206044,0.196531,1.388389,1.329602,1.0,2.583903
2026-03-08,MXN,0.04825,0.056063,0.0418,8.84598,0.043559,0.079741,0.07606,0.537323,0.514571,0.387012,1.0
2026-03-09,EUR,1.0,1.161941,0.866335,183.337249,0.902777,1.652681,1.576377,11.136274,10.664744,8.021002,20.725488
2026-03-09,USD,0.860629,1.0,0.745593,157.785349,0.776956,1.422345,1.356676,9.5842,9.178387,6.903107,17.836956
2026-03-09,GBP,1.154288,1.341215,1.0,211.624056,1.042065,1.907671,1.819593,12.854471,12.31019,9.25855,23.92319
2026-03-09,JPY,0.005454,0.006338,0.004725,1.0,0.004924,0.009014,0.008598,0.060742,0.05817,0.04375,0.113046
2026-03-09,CHF,1.107693,1.287074,0.959633,203.081392,1.0,1.830663,1.746142,12.335573,11.813262,8.884808,22.957479
2026-03-09,AUD,0.605077,0.703064,0.524199,110.93322,0.54625,1.0,0.95383,6.738307,6.452995,4.853327,12.540524
2026-03-09,CAD,0.634366,0.737096,0.549573,116.302938,0.572691,1.048405,1.0,7.064475,6.765352,5.088252,13.147547
2026-03-09,NOK,0.089797,0.104338,0.077794,16.46307,0.081066,0.148405,0.141553,1.0,0.957658,0.720259,1.861079
2026-03-09,SEK,0.093767,0.108952,0.081234,17.190966,0.084651,0.154967,0.147812,1.044214,1.0,0.752105,1.943365
2026-03-09,CNY,0.124673,0.144862,0.108008,22.857149,0.112552,0.206044,0.196531,1.388389,1.329602,1.0,2.583903
2026-03-09,MXN,0.04825,0.056063,0.0418,8.84598,0.043559,0.079741,0.07606,0.537323,0.514571,0.387012,1.0
2026-03-10,EUR,1.0,1.152729,0.866327,182.884891,0.900554,1.649801,1.564384,11.103972,10.699841,7.976202,20.730624
2026-03-10,USD,0.867506,1.0,0.751544,158.653811,0.781236,1.431213,1.357113,9.632767,9.282181,6.919407,17.983949
2026-03-10,GBP,1.154299,1.330594,1.0,211.103801,1.039508,1.904363,1.805767,12.817301,12.350814,9.206921,23.929333
2026-03-10,JPY,0.005468,0.006303,0.004737,1.0,0.004924,0.009021,0.008554,0.060716,0.058506,0.043613,0.113353
2026-03-10,CHF,1.110428,1.280023,0.961994,203.080533,1.0,1.831986,1.737136,12.330164,11.881405,8.857,23.019869
2026-03-10,AUD,0.606134,0.698708,0.52511,110.852692,0.545856,1.0,0.948226,6.730492,6.485534,4.834645,12.565529
2026-03-10,CAD,0.639229,0.736858,0.553781,116.905368,0.57566,1.054601,1.0,7.097984,6.839651,5.098622,13.251621
2026-03-10,NOK,0.090058,0.103812,0.07802,16.470222,0.081102,0.148578,0.140885,1.0,0.963605,0.71832,1.866956
2026-03-10,SEK,0.093459,0.107733,0.080966,17.092299,0.084165,0.154189,0.146206,1.03777,1.0,0.745451,1.93747
2026-03-10,CNY,0.125373,0.144521,0.108614,22.928818,0.112905,0.20684,0.196131,1.392138,1.341471,1.0,2.599059
2026-03-10,MXN,0.048238,0.055605,0.04179,8.821967,0.043441,0.079583,0.075462,0.535631,0.516137,0.384755,1.0
2026-03-11,EUR,1.0,1.162041,0.864702,184.054225,0.904134,1.626444,1.576893,11.183464,10.653023,7.983146,20.399168
2026-03-11,USD,0.860555,1.0,0.744123,158.388779,0.778057,1.399644,1.357003,9.623986,9.167512,6.869936,17.554605
2026-03-11,GBP,1.156468,1.343864,1.0,212.852904,1.045603,1.880931,1.823626,12.933324,12.319885,9.232256,23.590994
2026-03-11,JPY,0.005433,0.006314,0.004698,1.0,0.004912,0.008837,0.008568,0.060762,0.05788,0.043374,0.110832
2026-03-11,CHF,1.10603,1.285252,0.956386,203.569557,1.0,1.798896,1.744091,12.369251,11.782566,8.829602,22.562099
2026-03-11,AUD,0.614838,0.714467,0.531652,113.163605,0.555897,1.0,0.969534,6.876023,6.549887,4.908345,12.542192
2026-03-11,CAD,0.634159,0.736918,0.548358,116.719575,0.573365,1.031423,1.0,7.09209,6.755706,5.062581,12.936308
2026-03-11,NOK,0.089418,0.103907,0.07732,16.457711,0.080846,0.145433,0.141002,1.0,0.952569,0.713835,1.824047
2026-03-11,SEK,0.09387,0.109081,0.08117,17.277183,0.084871,0.152674,0.148023,1.049793,1.0,0.749378,1.914871
2026-03-11,CNY,0.125264,0.145562,0.108316,23.05535,0.113255,0.203735,0.197528,1.400884,1.334439,1.0,2.555279
2026-03-11,MXN,0.049022,0.056965,0.042389,9.022634,0.044322,0.079731,0.077302,0.548231,0.522228,0.391347,1.0
2026-03-12,EUR,1.0,1.153407,0.862772,183.487489,0.902108,1.616651,1.567122,11.155936,10.689846,7.934034,20.493588
2026-03-12,USD,0.866996,1.0,0.74802,159.082986,0.782124,1.401631,1.358689,9.672156,9.268058,6.878779,17.767866
2026-03-12,GBP,1.159055,1.336862,1.0,212.672041,1.045592,1.873787,1.81638,12.930341,12.390117,9.19598,23.75319
2026-03-12,JPY,0.00545,0.006286,0.004702,1.0,0.004916,0.008811,0.008541,0.060799,0.058259,0.04324,0.111689
2026-03-12,CHF,1.108515,1.27857,0.956396,203.398691,1.0,1.792082,1.737179,12.366526,11.849858,8.794998,22.717456
2026-03-12,AUD,0.618563,0.713455,0.533679,113.498518,0.55801,1.0,0.969363,6.900646,6.61234,4.907698,12.676569
2026-03-12,CAD,0.638112,0.736004,0.550546,117.085644,0.575646,1.031605,1.0,7.118741,6.821323,5.062806,13.077213
2026-03-12,NOK,0.089638,0.10339,0.077337,16.44752,0.080863,0.144914,0.140474,1.0,0.95822,0.711194,1.837012
2026-03-12,SEK,0.093547,0.107897,0.080709,17.164652,0.084389,0.151232,0.146599,1.043601,1.0,0.742203,1.917108
2026-03-12,CNY,0.126039,0.145375,0.108743,23.126632,0.113701,0.203762,0.197519,1.406086,1.347341,1.0,2.582997
