date,base_currency,quote_currency,rate
2026-03-02,EUR,EUR,1.0
2026-03-02,EUR,USD,1.17855
2026-03-02,EUR,GBP,0.876736
2026-03-02,EUR,JPY,184.258817
2026-03-02,EUR,CHF,0.905956
2026-03-02,EUR,AUD,1.659168
2026-03-02,EUR,CAD,1.608622
2026-03-02,EUR,NOK,11.213911
2026-03-02,EUR,SEK,10.670221
2026-03-02,EUR,CNY,8.095462
2026-03-02,EUR,MXN,20.325248
2026-03-02,USD,EUR,0.8485
2026-03-02,USD,USD,1.0
2026-03-02,USD,GBP,0.743911
2026-03-02,USD,JPY,156.343683
2026-03-02,USD,CHF,0.768704
2026-03-02,USD,AUD,1.407805
2026-03-02,USD,CAD,1.364916
2026-03-02,USD,NOK,9.515008
2026-03-02,USD,SEK,9.053687
2026-03-02,USD,CNY,6.869003
2026-03-02,USD,MXN,17.245981
2026-03-02,GBP,EUR,1.140594
2026-03-02,GBP,USD,1.344247
2026-03-02,GBP,GBP,1.0
2026-03-02,GBP,JPY,210.164501
2026-03-02,GBP,CHF,1.033328
2026-03-02,GBP,AUD,1.892437
2026-03-02,GBP,CAD,1.834784
2026-03-02,GBP,NOK,12.790519
2026-03-02,GBP,SEK,12.17039
2026-03-02,GBP,CNY,9.233635
2026-03-02,GBP,MXN,23.182855
2026-03-02,JPY,EUR,0.005427
2026-03-02,JPY,USD,0.006396
2026-03-02,JPY,GBP,0.004758
2026-03-02,JPY,JPY,1.0
2026-03-02,JPY,CHF,0.004917
2026-03-02,JPY,AUD,0.009005
2026-03-02,JPY,CAD,0.00873
2026-03-02,JPY,NOK,0.06086
2026-03-02,JPY,SEK,0.057909
2026-03-02,JPY,CNY,0.043935
2026-03-02,JPY,MXN,0.110308
2026-03-02,CHF,EUR,1.103806
2026-03-02,CHF,USD,1.300891
2026-03-02,CHF,GBP,0.967747
2026-03-02,CHF,JPY,203.386024
2026-03-02,CHF,CHF,1.0
2026-03-02,CHF,AUD,1.8314
2026-03-02,CHF,CAD,1.775607
2026-03-02,CHF,NOK,12.377984
2026-03-02,CHF,SEK,11.777856
2026-03-02,CHF,CNY,8.935821
2026-03-02,CHF,MXN,22.435134
2026-03-02,AUD,EUR,0.602712
2026-03-02,AUD,USD,0.710326
2026-03-02,AUD,GBP,0.528419
2026-03-02,AUD,JPY,111.054954
2026-03-02,AUD,CHF,0.54603
2026-03-02,AUD,AUD,1.0
2026-03-02,AUD,CAD,0.969535
2026-03-02,AUD,NOK,6.758756
2026-03-02,AUD,SEK,6.431067
2026-03-02,AUD,CNY,4.87923
2026-03-02,AUD,MXN,12.250266
2026-03-02,CAD,EUR,0.62165
2026-03-02,CAD,USD,0.732646
2026-03-02,CAD,GBP,0.545023
2026-03-02,CAD,JPY,114.544524
2026-03-02,CAD,CHF,0.563188
2026-03-02,CAD,AUD,1.031422
2026-03-02,CAD,CAD,1.0
2026-03-02,CAD,NOK,6.971129
2026-03-02,CAD,SEK,6.633145
2026-03-02,CAD,CNY,5.032545
2026-03-02,CAD,MXN,12.635194
2026-03-02,NOK,EUR,0.089175
2026-03-02,NOK,USD,0.105097
2026-03-02,NOK,GBP,0.078183
2026-03-02,NOK,JPY,16.431272
2026-03-02,NOK,CHF,0.080789
2026-03-02,NOK,AUD,0.147956
2026-03-02,NOK,CAD,0.143449
2026-03-02,NOK,NOK,1.0
2026-03-02,NOK,SEK,0.951516
2026-03-02,NOK,CNY,0.721912
2026-03-02,NOK,MXN,1.812503
2026-03-02,SEK,EUR,0.093719
2026-03-02,SEK,USD,0.110452
2026-03-02,SEK,GBP,0.082167
2026-03-02,SEK,JPY,17.26851
2026-03-02,SEK,CHF,0.084905
2026-03-02,SEK,AUD,0.155495
2026-03-02,SEK,CAD,0.150758
2026-03-02,SEK,NOK,1.050954
2026-03-02,SEK,SEK,1.0
2026-03-02,SEK,CNY,0.758697
2026-03-02,SEK,MXN,1.904857
2026-03-02,CNY,EUR,0.123526
2026-03-02,CNY,USD,0.145582
2026-03-02,CNY,GBP,0.1083
2026-03-02,CNY,JPY,22.760755
2026-03-02,CNY,CHF,0.111909
2026-03-02,CNY,AUD,0.20495
2026-03-02,CNY,CAD,0.198707
2026-03-02,CNY,NOK,1.38521
2026-03-02,CNY,SEK,1.31805
2026-03-02,CNY,CNY,1.0
2026-03-02,CNY,MXN,2.510697
2026-03-02,MXN,EUR,0.0492
2026-03-02,MXN,USD,0.057985
2026-03-02,MXN,GBP,0.043135
2026-03-02,MXN,JPY,9.065514
2026-03-02,MXN,CHF,0.044573
2026-03-02,MXN,AUD,0.081631
2026-03-02,MXN,CAD,0.079144
2026-03-02,MXN,NOK,0.551723
2026-03-02,MXN,SEK,0.524974
2026-03-02,MXN,CNY,0.398296
2026-03-02,MXN,MXN,1.0
